;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment Creation/Booking Date (Year);Shipment Creation/Booking Date (Year/Month);Shipment Creation/Booking Date (Day);Link to myKN Track;Invoice Numbers;KN Origin Reference;Shipment Tracking Number;HBL/HAWB/COMMREF;MAWB/OBL/MANIFEST#;ABO;Origin Office Location Code;Origin Office Country Code;Destination Office Location Code;Destination Office Country Code;Shipper Name;Shipper Street;Shipper ZIP Code;Shipper City;Shipper Country;Shipper Country / UN Code;Consignee Name;Consignee Street;Consignee ZIP Code;Consignee City;Consignee Country;Consignee Country / UN Code;Delivery Terms;Delivery Terms (Location);Mode of Transport;Shipment Type;Carrier Code (SCAC);Flight / Vessel;Departure;Departure (UN Code);Departure (Country UN Code);Destination;Destination (UN Code);Destination (Country UN Code);Container Movement Code;Container Types;Container Number(s);No of TEU;No of 20 ft;No of 40 ft;No of 40 ft HC;No of 45 ft;Volume (m3);Gross weight (kgs);Chargeable Weight (kgs);Packages;Spend in EUR;Spend per TEU;Spend per m3;Spend per kg;Spend per chargeable kg - Air only;Spend per package;Status 0100 / Booking date;Status 0300 / Ready at Supplier;Status 0500 / Pick up date;Status 1000 / Received at KN origin;Status 1065 / Container at CY;Status 1300 / Departure date;Status 1400 / Arrival date;Status 1405 Container Discharged (Sea) / Checked in Carrier (Air);Status 1600 / Customs clearance date;Status 2210 / Released to 3rd party;Status 3000 / Delivery date;Latest Process Name;Latest Sts Code of Latest Process;Latest Sts Name of Latest Process
2024;2024/02;19/02/2024;Link Expired;I24022207647;1000-0000-000.000;RWM003272310;;;SO240013;NLRTM;NL;GBBGK;GB;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;KRAKEN AQUACARE;8LW GB 249 LEASOWE ROAD WIRRAL CH45;CH45 8LW;WALLASEY;UNITED KINGDOM;GB;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Wallasey;;GB;N/A;;;0;0;0;0;0;1,25;163,55;;1;222,83;;178,55;1,36;;222,83;01/03/2024;;;;;28/02/2024;18/02/2024;;29/02/2024;;05/03/2024;Delivered/Closed;3060;POD Available
2024;2024/02;23/02/2024;Link Expired;I24022207431;2220-7062-402.117-09;RWM003300565;;;;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;BUQU DI FRANCESCA PICCIOLO;VIA CAPPUCCINI,159 159;72100;BRINDISI;ITALY;IT;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Brindisi;;IT;N/A;;;0;0;0;0;0;0,36;85,00;;1;101,07;;280,75;1,19;;101,07;;;28/02/2024;28/02/2024;;28/02/2024;28/02/2024;;;;01/03/2024;Delivered/Closed;3000;Delivered to Consignee OK
2024;2024/02;23/02/2024;Link Expired;I24022207645;2220-7024-402.087-09;RWM003294611;;;2420011;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;AQUA D´STRESS V.O.F;PAUWELSLAAN 10;2675 LE;HONSELERSDIJK;NETHERLANDS;NL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Honselersdijk;;NL;N/A;;;0;0;0;0;0;1,44;615,00;;1;163,65;;113,65;0,27;;163,65;;;28/02/2024;28/02/2024;;28/02/2024;;;;;08/03/2024;Delivered/Closed;3060;POD Available
2024;2024/02;29/02/2024;Link Expired;I24032202835;2220-8891-403.058-01;RWM003316651;;;240012;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;DISTRI PROAN S L (NOVOPET);CALLE MORSE 38;28906;GETAFE;SPAIN;ES;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Getafe;;ES;N/A;;;0;0;0;0;0;2,88;1.400,00;;2;213,02;;73,97;0,15;;106,51;;;01/03/2024;;;29/02/2024;;;;;04/03/2024;Delivered/Closed;3000;Delivered to Consignee OK
2024;2024/03;08/03/2024;Link Expired;I24032206736;1000-0000-000.000;RWM003369204;;;;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;ONLINEAQUARIUMSPULLEN;DE KIEL 19;9206 BG;DRACHTEN;NETHERLANDS;NL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Drachten;;NL;N/A;;;0;0;0;0;0;0,20;20,00;;2;61,11;;311,79;3,06;;30,555;;;;;;13/03/2024;11/03/2024;;;;15/03/2024;Delivered/Closed;3060;POD Available
2024;2024/03;08/03/2024;Link Expired;I24042208105;1000-0000-000.000;RWM003374818;0933625731067;;240040;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;AKVARIEBODEN AS;INDUSTRIVEIEN 10;4330;AALGAARD;NORWAY;NO;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Aalgaard;;NO;N/A;;;0;0;0;0;0;1,15;278,00;;1;301,62;;261,82;1,08;;301,62;;;;;;23/03/2024;27/03/2024;;05/04/2024;;03/04/2024;Delivered/Closed;3000;Delivered to Consignee OK
2024;2024/03;13/03/2024;Link Expired;I24042208103;2220-7035-403.053-02;RWM003398992;0933625728193;;240114;ESBCN;ES;DEBKB;DE;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;E. A. EUROPEAN AQUARISTICS GMB;BHS SPEDITION UND LOGISTIK GMB;28197;BREMEN;GERMANY;DE;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Bremen;;DE;N/A;;;0;0;0;0;0;6,05;3.250,00;;3;524,31;;86,69;0,16;;174,77;;;15/03/2024;15/03/2024;;19/03/2024;;;;;20/03/2024;Delivered/Closed;3060;POD Available
2024;2024/03;19/03/2024;Link Expired;I24032206901;2220-7182-403.108-08;RWM003429403;;;240155;ESBCN;ES;SKBTS;SK;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;CRÉAQUARIUM;2 rue Charles Sandro;83136;GAREOULT;FRANCE;FR;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Gareoult;;FR;N/A;;;0;0;0;0;0;1,06;267,00;;1;124,44;;117,84;0,47;;124,44;;;21/03/2024;21/03/2024;;22/03/2024;22/03/2024;;;;25/03/2024;Delivered/Closed;3060;POD Available
2024;2024/03;19/03/2024;Link Expired;I24032206914;2220-7147-403.064-01;RWM003429438;;;240151;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;NATTEC - WHOLESALE OF AQUARIUM;WROCŁAWSKA 33D;55-220;MILOSZYCE;POLAND;PL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Miloszyce;;PL;N/A;;;0;0;0;0;0;1,54;788,00;;1;209,06;;136,11;0,27;;209,06;;;21/03/2024;21/03/2024;;23/03/2024;27/03/2024;;;;27/03/2024;Delivered/Closed;3060;POD Available
2024;2024/03;19/03/2024;Link Expired;I24042208102;2220-7057-403.061-01;RWM003429443;0933625731063;;240156;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;GREEN AQUA;THAN KAROLY STREET 23-25;1119;BUDAPEST;HUNGARY;HU;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Budapest;;HU;N/A;;;0;0;0;0;0;1,34;225,00;;1;176,23;;131,12;0,78;;176,23;;;21/03/2024;21/03/2024;;23/03/2024;27/03/2024;;;;28/03/2024;Delivered/Closed;3060;POD Available
